busId,busName,lng,lat
1223,이화동(이화장),127.00070637,37.576058063
1224,창경궁.서울대학교병원,126.99673786,37.578818331
1225,이화동(이화장),127.00328231,37.576034754
1226,혜화동로터리,127.00082806,37.585725985
1227,명륜동2가.성균관대입구,126.99929361,37.583406726
1228,혜화역.서울연극센터(장면총리가옥),127.00143451,37.584037766
1229,혜화역.동성중고(장면총리가옥),127.00152806,37.584541583
1231,종로구민회관.창신동두산아파트,127.0155868,37.574092233
1235,동묘역앞,127.01563819,37.571687031
1236,동묘역앞,127.01577891,37.571786662
1237,청계2가교차로,126.98787787,37.568480901
1238,창신3동주민센터,127.01518806,37.578774381
1239,숭인1동주민센터.창신역4번출구,127.01524044,37.578751707
1240,동묘역.롯데캐슬천지인,127.01566401,37.57418192
1243,신설동로터리,127.02294688,37.575856142
1245,동묘앞,127.01784074,37.573684648
1246,구기동현대빌라,126.95659568,37.609642432
1247,광장시장,126.99783843,37.569502113
1249,혜화경찰서,126.99757103,37.572584235
1250,서울역사박물관.김구집무실(경교장),126.9721428,37.570029789
1251,청계3가.관수교,126.99378934,37.568609162
1252,청계6가.버들다리,127.00804422,37.569838294
1253,청계7가.맑은내다리,127.01295687,37.569918602
1254,청계8가.영도교,127.01827405,37.570894634
1256,원남동사거리,126.99821237,37.575786172
1262,숭인동,127.02037874,37.574381264
1267,조계사,126.98304664,37.572797037
1272,세종문화회관,126.9766821,37.573342871
1277,이화동(이화장),127.00299972,37.576187195
1278,상명대정문,126.9550659,37.601666122
1279,이북오도청,126.95589299,37.613051749
1286,상명대입구.세검정교회,126.95976592,37.599393392
1287,상명대입구.석파랑,126.95835244,37.599766755
1288,종로중부새마을금고,127.00650174,37.57239261
1289,신설동로터리.신한은행앞.서울풍물시장,127.02320198,37.574388543
1291,청계2가.삼일교,126.98720382,37.568271052
1292,청계8가.황학교,127.02275874,37.572024207
1293,평창동삼성아파트,126.9784,37.611041
1294,안국역.인사동,126.98545905,37.576442462
1295,안국역.서울공예박물관,126.98484817,37.576311586
1296,창덕궁,126.98900171,37.577303233
1297,남인사마당,126.98754969,37.571312105
1500,평창파출소,126.96684065,37.605650619
1501,삼청공원,126.98168309,37.588205219
1502,수성동계곡,126.96424681,37.582079256
1503,명륜3가종점,126.99286198,37.590947412
1504,명륜새마을금고,126.99666001,37.587663638
1505,서대문3번출구,126.96617073,37.566386953
1506,낙산공원,127.00872666,37.5804315
1507,인사미술공간.세탁소,126.98939277,37.5814087
1508,화정박물관,126.96489986,37.604777143
1509,금융연수원,126.98163182,37.586597213
1510,박노수미술관,126.96660834,37.581023839
1511,샘미용실,126.99324621,37.59031994
1512,서울국제고등학교,126.99722534,37.589094773
1513,화정박물관,126.96524774,37.605027098
1514,적십자병원후문앞,126.9651082,37.567461051
1515,서울성곽.성대후문,126.98962419,37.589368277
1516,빨래터.고희동미술관,126.98897779,37.583007982
1517,세검초등학교,126.96137739,37.604216347
1518,삼청동주민센터,126.98192144,37.584262239
1519,통인시장,126.96874752,37.58045056
1520,양현관,126.99361556,37.589796385
1521,국민생활관,126.99888615,37.58982995
1522,오거리,126.96228963,37.607085035
1523,경희궁자이2.3단지,126.96395801,37.568728129
1524,창신쌍용2단지.한성대후문,127.012764,37.581314
1525,통일부,126.9856444,37.587573769
1526,원서고개,126.98780783,37.583139287
1528,종로5가입구.혜화경찰서,126.99763541,37.571751973
1529,삼청파출소,126.98125268,37.581812947
1530,오거리.한옥마을입구,126.96954681,37.579499111
1531,명륜시장.성대후문,126.99528946,37.58852435
1532,혜화초등학교,126.99988172,37.587258609
1533,청련사입구,126.96240332,37.608024127
1534,영천시장,126.96273388,37.569937491
1535,명신초.삼선푸르지오.힐스테이트,127.01453029,37.582147474
1536,감사원,126.98535272,37.586300211
1537,중앙중고,126.98696464,37.583130136
1538,인왕빌딩,126.95767477,37.607877605
1539,종로4가.종묘공원,126.99446547,37.570569466
1540,국립민속박물관,126.97955294,37.579255225
1541,광화문새마을금고,126.97114398,37.579429898
1542,새마을금고,126.996533,37.587764
1543,혜화우체국,127.00065202,37.586060048
1544,언덕앞,126.96375018,37.608977842
1545,경희궁자이4단지,126.96200223,37.570627181
1546,종로센트레빌후문.e편한세상보문아파트,127.0161805,37.581815507
1547,사우디대사관앞.경남빌라,126.98501083,37.584106052
1548,안국선원.삼거리,126.98499367,37.582790982
1549,구기터널입구,126.95680226,37.608247475
1550,종로3가.1.3.5호선,126.99206729,37.571057698
1551,경복궁,126.97941563,37.576949192
1553,소나무집,126.9641242,37.611335327
1554,독립문역3번출구,126.95968645,37.572840556
1555,청룡사.보문파크뷰자이아파트,127.01705131,37.580019474
1556,북촌한옥마을입구.정세권활동터,126.98497922,37.581599449
1557,종로1.2.3.4가동주민센터,126.99102785,37.574363702
1558,창덕궁,126.9905176,37.57606978
1561,아름다운실버,126.96543434,37.612022006
1562,독립문초등학교,126.96070612,37.573859813
1563,종로센트레빌아파트,127.01564069,37.580349689
1564,가회동주민센터,126.98493309,37.579937401
1565,구기빌라,126.95794916,37.606296902
1566,원남로터리,126.99735073,37.576224864
1567,보현산신각,126.96576366,37.613476412
1568,천사유치원,126.9618149,37.574677049
1569,쌍용아파트입구.창신역,127.01500067,37.580510632
1570,아름다운가게.정독도서관,126.98509315,37.578919376
1571,산정빌라,126.95749849,37.605152729
1572,이화사거리,127.00211466,37.576471273
1573,박종화고택입구,126.96766368,37.614332379
1574,무악현대아파트후문,126.96197253,37.57630822
1576,헌법재판소.안국역,126.98571956,37.577573268
1577,청구빌라,126.95697072,37.604612474
1578,서울대어린이병원응급실.갑상선센터,126.99948559,37.578154582
1580,화인빌라,126.96854837,37.612975094
1581,넓은마당,126.96288844,37.575272966
1582,창신초등학교,127.015387,37.576903118
1583,수운회관,126.98665948,37.575192462
1584,상명대후문,126.95735031,37.604031202
1586,힐탑,126.96904142,37.611639637
1587,신학대학교총회본부,126.96344351,37.573975978
1589,낙원상가,126.98742278,37.57372579
1590,완성빌라,126.95752122,37.603406724
1591,서울대병원장례식장,126.99742521,37.580536386
1592,혜화역1번출구,127.00176058,37.583435587
1593,감나무골공원,126.96994246,37.612405685
1594,한국사회과학자료원,126.96409148,37.573651549
1595,동묘역,127.01424493,37.572695303
1596,금강제화,126.98757001,37.570550958
1597,경진빌라,126.95784851,37.601990957
1598,성균관대학교앞,126.99926438,37.583379526
1601,청와대,126.97370303,37.582745449
1602,춘추문,126.97985488,37.582968673
1603,경복궁.국립민속박물관,126.97962474,37.579505983
1607,EN갤러리,126.97069256,37.613447694
1667,종로문화센터,126.96457154,37.57466302
1682,동대문역.2번출구,127.01174511,37.571988052
1683,종각역YMCA,126.98533063,37.570276942
1684,서교빌라,126.95716661,37.602037686
1685,경복궁역,126.97239598,37.577055275
1697,성대입구,126.99890206,37.583232651
1698,무애사,126.97183348,37.613900774
1699,단군성전앞,126.96529972,37.57558773
1702,동대문종합시장,127.00624521,37.571164617
1714,상명초등학교,126.95668325,37.600936825
1720,법련사,126.97959029,37.576589267
1721,광화문새마을금고,126.97102532,37.57954714
1722,성균관대학교,126.99715866,37.585017319
1723,참샘골공원,126.97412187,37.614608321
1724,활터앞,126.9653646,37.576852478
1725,종로5가.3번출구,127.00197166,37.571422059
1727,인사동들머리.3.1독립선언터,126.98326508,37.572029676
1728,정독도서관,126.98004421,37.580217717
1729,오거리.한옥마을입구,126.96973737,37.579511318
1732,평창공원지킴터입구,126.97573567,37.61639742
